File modules/solutions/moba_no_outlier_euclidean_solution.csv,,,,,,,,,,,,
elapsed_time,max_gen_reached,,,,,,,,,,,
554.841020,False,,,,,,,,,,,
alpha,corr_threshold,dt,elsize,k,lang,max_iter,max_no_improv,maxs,metric,mins,seed,verbose
3,0.75,2,10,10,en,300,0.2,6,e,3,-1,False
Elite,,,,,,,,,,,,
evaluation,0,1,2,3,4,5,6,7,,,,
0.287229,0,1,0,0,1,0,1,0,,,,
0.279815,0,1,1,0,1,0,0,0,,,,
0.279234,0,0,0,1,1,0,1,0,,,,
0.275529,0,1,0,0,1,0,0,1,,,,
0.272499,0,1,0,1,1,0,0,0,,,,
0.263233,0,1,0,0,1,1,0,0,,,,
0.262075,1,1,0,0,0,0,1,0,,,,
0.259615,1,1,1,0,0,0,0,0,,,,
0.255441,1,1,0,0,1,0,0,0,,,,
