File modules/solutions/wine_no_outlier_cosine_solution.csv,,,,,,,,,,,,
elapsed_time,max_gen_reached,,,,,,,,,,,
38.429558,False,,,,,,,,,,,
alpha,corr_threshold,dt,elsize,k,lang,max_iter,max_no_improv,maxs,metric,mins,seed,verbose
3,0.75,1,10,3,en,300,0.2,6,c,3,-1,False
Elite,,,,,,,,,,,,
evaluation,0,1,2,3,4,5,6,7,8,9,10,11
0.663120,0,0,0,1,0,0,1,0,0,1,0,0
0.643170,0,1,0,1,0,1,0,0,0,0,0,0
0.639064,0,1,0,0,0,0,0,0,0,1,1,0
0.630840,0,0,0,1,0,0,0,0,0,1,1,0
0.628926,1,0,0,1,0,0,0,0,0,0,0,1
0.614923,0,0,0,1,0,0,1,1,0,0,0,0
0.601600,1,0,0,1,0,0,0,0,0,0,1,0
0.600496,1,0,0,0,0,0,0,1,0,0,0,1
0.599997,1,0,0,0,0,0,0,1,0,0,1,0
0.596510,0,1,0,0,0,0,0,1,0,0,1,0
