"0,698179",Acesso a hash,MÉDIA,DESVIO,MÉDIA HASH
"0,698179",4530,"0,62852445","0,031196467501426",4530
"0,698179",4530,,,
"0,698179",4530,,,
"0,698179",4530,,,
"0,698179",4530,,,
"0,698179",4530,,,
"0,698179",4530,,,
"0,698179",4530,,,
"0,671707",4530,,,
"0,671707",4530,,,
"0,671707",,,,
"0,671707",,,,
"0,666886",,,,
"0,666886",,,,
"0,666886",,,,
"0,666886",,,,
"0,660529",,,,
"0,660529",,,,
"0,660529",,,,
"0,649208",,,,
"0,647514",,,,
"0,647514",,,,
"0,637756",,,,
"0,637756",,,,
"0,637094",,,,
"0,634866",,,,
"0,634866",,,,
"0,632342",,,,
"0,631337",,,,
"0,631337",,,,
"0,631337",,,,
"0,631337",,,,
"0,631337",,,,
"0,631337",,,,
"0,631337",,,,
"0,631337",,,,
"0,631337",,,,
"0,628674",,,,
"0,628674",,,,
"0,6264",,,,
"0,6264",,,,
"0,6264",,,,
"0,6264",,,,
"0,624724",,,,
"0,624724",,,,
"0,624724",,,,
"0,624724",,,,
"0,622325",,,,
"0,622325",,,,
"0,622325",,,,
"0,622325",,,,
"0,622325",,,,
"0,621198",,,,
"0,618954",,,,
"0,618954",,,,
"0,618954",,,,
"0,618954",,,,
"0,618954",,,,
"0,617543",,,,
"0,615715",,,,
"0,615715",,,,
"0,615715",,,,
"0,615715",,,,
"0,615715",,,,
"0,613278",,,,
"0,612166",,,,
"0,612166",,,,
"0,611476",,,,
"0,611251",,,,
"0,611251",,,,
"0,611251",,,,
"0,611234",,,,
"0,60997",,,,
"0,608151",,,,
"0,606758",,,,
"0,606441",,,,
"0,606441",,,,
"0,606441",,,,
"0,605907",,,,
"0,604974",,,,
"0,604974",,,,
"0,604974",,,,
"0,604974",,,,
"0,603556",,,,
"0,603556",,,,
"0,603556",,,,
"0,601749",,,,
"0,600444",,,,
"0,600444",,,,
"0,600444",,,,
"0,598925",,,,
"0,598915",,,,
"0,581699",,,,
"0,579957",,,,
"0,579619",,,,
"0,574055",,,,
"0,573533",,,,
"0,572225",,,,
"0,569616",,,,
