File solutions/grasp/wine/cosine_cmc_4_50.csv,,,,,,,,,,,,,
elapsed_time,max_gen_reached,,,,,,,,,,,,
18.129396,False,,,,,,,,,,,,
alpha,const,corr_threshold,dt,elsize,k,lang,max_iter,max_no_improv,maxs,metric,mins,seed,verbose
4,2,0.75,1,10,3,en,50,0.2,6,c,3,-1,False
Elite,,,,,,,,,,,,,
evaluation,0,1,2,3,4,5,6,7,8,9,10,11,
0.624724,1,0,0,0,0,0,0,1,0,0,1,0,
0.576867,0,1,0,1,0,0,0,0,0,0,1,0,
0.574263,1,0,0,0,0,0,0,1,0,1,1,0,
0.567315,1,0,0,1,0,0,1,1,0,0,1,0,
0.555403,1,0,0,1,0,0,0,0,1,0,1,0,
0.539909,1,1,0,0,0,0,0,1,0,0,1,0,
0.527644,1,1,0,0,0,0,0,0,0,0,1,0,
0.491532,1,0,0,0,0,0,0,1,1,0,1,0,
0.448575,1,1,0,0,0,0,0,1,1,1,1,0,
0.439314,1,0,0,0,0,0,1,1,1,1,0,0,
Mean,Std,It_total,It_best,Number_solutions_hash,Hash_access,Hash_add,,,,,,,
0.53455,0.05603,12,1,116,220,116,,,,,,,
