File solutions/grasp/wine/euclidean_cmc_4_50.csv,,,,,,,,,,,,,
elapsed_time,max_gen_reached,,,,,,,,,,,,
28.734694,False,,,,,,,,,,,,
alpha,const,corr_threshold,dt,elsize,k,lang,max_iter,max_no_improv,maxs,metric,mins,seed,verbose
4,2,0.75,1,10,3,en,50,0.2,6,e,3,-1,False
Elite,,,,,,,,,,,,,
evaluation,0,1,2,3,4,5,6,7,8,9,10,11,
0.483165,1,0,0,0,0,0,1,0,0,1,0,0,
0.455462,1,0,0,0,0,0,1,0,0,0,1,0,
0.415763,1,0,0,0,0,0,1,1,0,0,0,0,
0.402423,1,1,0,0,0,0,0,0,0,0,1,0,
0.398941,1,1,0,0,0,0,0,0,0,1,0,0,
0.397795,0,1,0,0,0,0,0,1,0,0,1,0,
0.388944,1,1,0,0,0,0,0,0,1,0,0,0,
0.383655,0,1,0,0,0,0,0,1,1,0,0,0,
0.379079,0,0,0,0,0,1,0,0,1,1,0,0,
0.374820,1,1,0,0,0,0,0,1,0,0,0,0,
Mean,Std,It_total,It_best,Number_solutions_hash,Hash_access,Hash_add,,,,,,,
408,0.03328,20,9,184,340,184,,,,,,,
