"0,698179",Acessos a hash,MÉDIA,DESVIO,MÉDIA HASH
"0,660529",6431,"0,64581707","0,02346375658468","6174,1"
"0,649208",5980,,,
"0,647514",6545,,,
"0,637756",6283,,,
"0,637094",5779,,,
"0,631337",5955,,,
"0,628674",6344,,,
"0,624724",6232,,,
"0,615715",5936,,,
"0,698179",6256,,,
"0,660529",,,,
"0,649208",,,,
"0,647514",,,,
"0,637756",,,,
"0,637094",,,,
"0,631337",,,,
"0,628674",,,,
"0,624724",,,,
"0,611476",,,,
"0,698179",,,,
"0,671707",,,,
"0,658146",,,,
"0,649208",,,,
"0,647514",,,,
"0,637756",,,,
"0,637062",,,,
"0,634866",,,,
"0,631337",,,,
"0,628674",,,,
"0,698179",,,,
"0,671707",,,,
"0,666886",,,,
"0,649208",,,,
"0,637756",,,,
"0,631337",,,,
"0,628674",,,,
"0,624724",,,,
"0,615981",,,,
"0,611251",,,,
"0,698179",,,,
"0,671707",,,,
"0,666886",,,,
"0,647514",,,,
"0,637756",,,,
"0,634866",,,,
"0,631337",,,,
"0,628674",,,,
"0,624724",,,,
"0,615981",,,,
"0,698179",,,,
"0,671707",,,,
"0,666886",,,,
"0,649208",,,,
"0,647514",,,,
"0,637756",,,,
"0,637062",,,,
"0,634866",,,,
"0,631337",,,,
"0,628674",,,,
"0,698179",,,,
"0,671707",,,,
"0,666886",,,,
"0,649208",,,,
"0,647514",,,,
"0,637756",,,,
"0,634866",,,,
"0,631337",,,,
"0,624724",,,,
"0,615981",,,,
"0,698179",,,,
"0,671707",,,,
"0,666886",,,,
"0,659788",,,,
"0,647514",,,,
"0,637756",,,,
"0,634866",,,,
"0,631337",,,,
"0,624724",,,,
"0,615715",,,,
"0,698179",,,,
"0,660529",,,,
"0,647514",,,,
"0,637756",,,,
"0,634866",,,,
"0,631337",,,,
"0,628674",,,,
"0,624724",,,,
"0,617543",,,,
"0,611476",,,,
"0,698179",,,,
"0,671707",,,,
"0,666886",,,,
"0,649208",,,,
"0,647514",,,,
"0,634866",,,,
"0,631337",,,,
"0,628674",,,,
"0,624724",,,,
"0,621198",,,,
